取得時刻UTC,基軸資産照会,基軸資産アドレス,DEX,プールアドレス（pairAddress）,DEX Screener URL,ベースシンボル,ベース名称,ベースコントラクト,クオートシンボル,クオート名称,クオートコントラクト,流動性USD（API時点）,24時間出来高USD（API時点）,24時間買い件数（API時点）,24時間売り件数（API時点）,同一pairAddressで重複したAPI行数
2026-09-06T09:56:44.836859+00:00,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,swaphood,0x42025eade4e6390bade2abbc12c232dc06a66f50,https://dexscreener.com/robinhood/0x42025eade4e6390bade2abbc12c232dc06a66f50,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,21.28,0.04,5,0,1
2026-09-06T09:56:44.836859+00:00,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,synthra,0x45436fe7b78764e3a415f5bdce50430b1b1f1d0a,https://dexscreener.com/robinhood/0x45436fe7b78764e3a415f5bdce50430b1b1f1d0a,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,315.22,2.88,2,0,1
2026-09-06T09:56:44.431941+00:00,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,uniswap,0x455a84938ce4bba51ec08c9cef33bb277b3ac80953b50920830d62ce1c7124a9,https://dexscreener.com/robinhood/0x455a84938ce4bba51ec08c9cef33bb277b3ac80953b50920830d62ce1c7124a9,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,184519.18,40600.88,5,4,1
2026-09-06T09:56:45.284704+00:00,ネイティブETH,0x0000000000000000000000000000000000000000,uniswap,0x47631aedb7cc03d2f0d2452dd94fee1f1a149a3792fe9a2b413d4394a1a0f2a4,https://dexscreener.com/robinhood/0x47631aedb7cc03d2f0d2452dd94fee1f1a149a3792fe9a2b413d4394a1a0f2a4,UNIPCS,Unipcs,0x7df5daaf80e65dfcc7a1435d9b52bcf2b5753fbe,ETH,Ether,0x0000000000000000000000000000000000000000,172037.06,8606954.53,15750,13056,1
2026-09-06T09:56:45.284704+00:00,ネイティブETH,0x0000000000000000000000000000000000000000,uniswap,0x48f9cb210e8f2165c2503e1d8963aa0b04d9dcb288a8afcbd2119e64a98840d0,https://dexscreener.com/robinhood/0x48f9cb210e8f2165c2503e1d8963aa0b04d9dcb288a8afcbd2119e64a98840d0,ARC,Arc Finance,0x7ad7b2256ffcf7c6f7c7d95cf238d2ecc2c485e0,ETH,Ether,0x0000000000000000000000000000000000000000,37718.61,1363320.28,4660,3883,1
2026-09-06T09:56:44.836859+00:00,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0xf03875b5Ec5eAc83cab83A6c2ab17844304AA7a0,0x49ffa9b5cb6c94b2fc99e8649c3e4c18f619e149,https://dexscreener.com/robinhood/0x49ffa9b5cb6c94b2fc99e8649c3e4c18f619e149,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,272.52,185.01,8,5,1
2026-09-06T09:56:44.431941+00:00,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,uniswap,0x4af6ada658be881d02d47d303ac38f9b3d561da8c5f9ec30c29f92297ec5e6d8,https://dexscreener.com/robinhood/0x4af6ada658be881d02d47d303ac38f9b3d561da8c5f9ec30c29f92297ec5e6d8,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,349697.58,37013.43,7,8,1
2026-09-06T09:56:44.431941+00:00,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,uniswap,0x50a42dadc20f2431199cce83fa21217ae51d1ce500bb38f2b14df8b421f066c8,https://dexscreener.com/robinhood/0x50a42dadc20f2431199cce83fa21217ae51d1ce500bb38f2b14df8b421f066c8,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,184564.75,10204.4,2,2,1
2026-09-06T09:56:44.836859+00:00,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,uniswap,0x52e65b17fb6e5ba00ed806f37afcd2daa50271ca,https://dexscreener.com/robinhood/0x52e65b17fb6e5ba00ed806f37afcd2daa50271ca,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,29850378.42,640898028.51,988964,945219,1
2026-09-06T09:56:44.836859+00:00,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,sheriff,0x536a7b19abb933bf6319e0b8817e733bba166674,https://dexscreener.com/robinhood/0x536a7b19abb933bf6319e0b8817e733bba166674,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,13640.77,105276.77,1077,1305,1
